id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
94,2012,2,7,1,1,"5,766",,,,,,,,,,
94,2012,2,8,1,1,"9,059",,,,,,,,,,
94,2012,2,9,1,1,"3,254",,,,,,,,,,
94,2012,2,10,1,1,"6,066",,,,,,,,,,
94,2012,3,11,1,1,"5,024",,,,,,,,,,
94,2012,3,12,1,1,"4,998",,,,,,,,,,
94,2012,3,13,1,1,"4,846",,,,,,,,,,
94,2012,3,14,1,1,"5,027",,,,,,,,,,
95,2011,4,17,0,1,"3,065",,,,,,,,,,
95,2011,4,18,0,1,"3,150",,,,,,,,,,
95,2011,5,19,0,1,"7,519",,,,,,,,,,
95,2011,5,20,0,1,"3,075",,,,,,,,,,
95,2011,5,21,0,1,"5,141",,,,,,,,,,
95,2011,5,22,0,1,"2,303",,,,,,,,,,
95,2011,5,23,0,1,"6,162",,,,,,,,,,
95,2011,6,24,0,1,"2,416",,,,,,,,,,
95,2011,6,25,0,1,"2,867",,,,,,,,,,
95,2011,6,26,0,1,"2,288",,,,,,,,,,
95,2011,6,27,0,1,"5,384",,,,,,,,,,
95,2011,7,28,0,1,"4,423",,,,,,,,,,
95,2011,7,29,0,1,"3,912",,,,,,,,,,
95,2011,7,30,0,1,"2,182",,,,,,,,,,
95,2011,7,31,0,1,"3,816",,,,,,,,,,
95,2011,8,32,0,1,"2,557",,,,,,,,,,
95,2011,8,33,0,1,"3,220",,,,,,,,,,
95,2011,8,34,0,1,"1,848",,,,,,,,,,
95,2011,8,35,0,1,"4,763",,,,,,,,,,
95,2011,8,36,0,1,"4,933",,,,,,,,,,
95,2011,9,37,0,1,"5,591",,,,,,,,,,
95,2011,9,38,0,1,"3,497",,,,,,,,,,
95,2011,9,39,0,1,"4,163",,,,,,,,,,
95,2011,9,40,0,1,"4,264",,,,,,,,,,
95,2011,10,41,0,1,"4,170",,,,,,,,,,
95,2011,10,42,0,1,"4,137",,,,,,,,,,
95,2011,10,43,1,1,"3,420",,,,,,,,,,
95,2011,10,44,1,1,"3,752",,,,,,,,,,
95,2011,10,45,1,1,819,,,,,,,,,,
